# Generated by ReviewAid
Filename,Confidence,Paper Title,Conclusion,Type of Study,Population,Intervention,comparison,outcome,Results
1-s2.0-S0022510X21003166-main.pdf,0.9,Wearing-off symptoms during standard and extended natalizumab dosing intervals: Experiences from the COVID-19 pandemic,Our observations support the need to study the effect of EID on wearing-off symptoms in randomized controlled trials.,Observational study,RRMS patients over 18 years of age receiving natalizumab,Extended interval dosing (EID) of natalizumab (from 4 to 6 weeks),Standard interval dosing (SID) vs Extended interval dosing (EID),Prevalence and intensity of wearing-off symptoms during natalizumab dosing intervals,"New or increased wearing-off symptoms during EID were reported by 50% of patients. Symptom increase was more frequent among those with pre-existing wearing-off symptoms during SID (p = 0.0005). None reported decreased symptoms. Median natalizumab receptor occupancy at SID was lower in 9 of 11 leukocyte subtypes for patients with increased symptoms during EID, but this difference was not statistically significant."
1-s2.0-S221103482100612X-main.pdf,0.9,Safety of Natalizumab infusion in multiple sclerosis patients during active SARS-CoV-2 infection,"Our data supports the safety of NTZ redosing in pwMS during active SARS-CoV-2 infection, as no worsening of COVID-19 symptoms or recovery delay was observed.",Retrospective study,18 relapsing-remitting multiple sclerosis patients (pwMS),Natalizumab (NTZ) infusion,Not Found,Safety of NTZ infusion during active SARS-CoV-2 infection (no worsening of infection or recovery delay observed),"All patients had at least one COVID-19 symptom at onset; 72% reported anosmia, 66% ageusia, etc.; none experienced worsening of SARS-CoV-2 symptoms or new neurological symptoms after NTZ reinfusion; mean time to full recovery for symptomatic patients was 10±12 days; overall recovery intervals aligned with general population outcomes."
1-s2.0-S1878747924000370-main.pdf,0.9,Extended interval dosing of natalizumab: More evidence in support,"Extended interval dosing of natalizumab shows similar benefits to standard interval dosing at 6-week intervals without compromising efficacy, potentially reducing PML risk. However, EID has not been studied as first-line therapy, and more data are needed for patients with recent diagnosis or higher disease activity. Further studies, especially those incorporating natalizumab concentrations, are required.",Commentary,"Adults with relapsing-remitting multiple sclerosis (RRMS) receiving natalizumab, including those on standard interval dosing (SID) and extended interval dosing (EID), with characteristics such as mean disease duration, prior treatment, etc.",Extended interval dosing of natalizumab (EID),Standard interval dosing (SID) vs Extended interval dosing (EID),"Evidence of disease activity (clinical relapses, MRI activity, or disability worsening as measured by EDSS)","Observational studies show no significant differences in disease activity outcomes between SID and EID at 6-week intervals; a trend toward increased clinical relapses with EID was noted in one study; BMI showed an interaction with treatment effect on disease activity, though inverse probability weighting mitigated this."
10.1007@s00415-014-7574-6.pdf,0.9,Intense immunosuppression for the treatment of an immune reconstitution inflammatory syndrome-like exacerbation after natalizumab withdrawal: a case report,"The administration of intense immunosuppression, once PML is ruled out, is a therapeutic option for rapidly worsening immune reconstitution inflammatory syndrome (IRIS) after natalizumab withdrawal, especially when standard therapies fail.",Case Report,43-year-old woman with relapsing–remitting multiple sclerosis (RRMS),Intense immunosuppression (1 g of IV cyclophosphamide followed by a cycle of rituximab),"Standard therapy (IVMP, plasma exchange) vs intense immunosuppression",Clinical improvement (EDSS decreased from 9.0 to 3.0) and radiological improvement (lesion reduction and gadolinium enhancement resolution over follow-up),"Patient’s condition improved clinically (EDSS 5.0 after treatment) and radiologically (decrease in lesion size and absence of gadolinium enhancement at 3, 9, and 16 months follow-up)."
"A real world multi center study on efficacy and safety of natalizumab in Indian patients with multiple sclerosis_Author links open overlay panel_Thomas Mathew a_, _Vikram Kamath b_, _Saji K John a_, _M Netravat.pdf",0.9,A real world multi center study on efficacy and safety of natalizumab in Indian patients with multiple sclerosis,"Natalizumab is highly effective and safe in Indian MS patients, with no cases of PML identified at last follow up.",Multicentre ambispective study,Multiple sclerosis patients (age ≥18 years) in India,Natalizumab,Before and after natalizumab treatment,"Relapse rate, EDSS score, occurrence of PML","During 9-year study, 116 MS patients treated with natalizumab; relapse rate reduced from 3.1±1.51 to 0.20±0.57 per year (p=0.001); EDSS improved from 4.5±1.94 to 3.8±2.7 (p=0.013); no PML cases at last follow-up (38.3±22.78 months)."
Balduzzi et al. - 2019 - How to perform a meta-analysis with R a practical tutorial.pdf,0.9,How to perform a meta-analysis with R: a practical tutorial,R represents a powerful and flexible tool to conduct meta-analyses. This publication gives a brief glimpse into the topic and provides directions to more advanced meta-analysis methods available in R.,Practical tutorial on performing meta-analysis with R,Patients with schizophrenia (participants in trials comparing haloperidol and placebo for schizophrenia symptoms),Haloperidol,Placebo,Clinical improvement (binary outcome measured as risk ratio for haloperidol vs placebo),"Fixed-effect and random-effects meta-analyses showed haloperidol significantly more effective than placebo (RR > 1), though prediction intervals included the null effect. Subgroup analysis by missing data found studies without missing data reported larger effects. Sensitivity analyses for missing data yielded similar results. Funnel plot asymmetry indicated small-study effects; trim-and-fill and limit meta-analyses adjusted estimates to non-significant benefit, while contour-enhanced funnel plot suggested asymmetry not due to publication bias."
Bernardes et al. - 2024 - Natalizumab extended interval dosing what about wearing-off effect.pdf,0.9,Natalizumab extended interval dosing: what about wearing-off effect?,"WO affects a significant proportion of MS patients under natalizumab. Despite clinical effectiveness maintenance, its prevalence, severity, and duration increase on EID, and therefore, we recommend that this posology should be individualized. Further investigation to elucidate the cause of WO and possible association with disease activity, namely on EID, is needed to ultimately guide dosing decisions.",Observational retrospective study,Patients with multiple sclerosis (MS) receiving natalizumab therapy,Extended interval dosing (EID) with every six weeks infusions,Standard interval dosing (SID) vs Extended interval dosing (EID),"Wearing-off (WO) effect prevalence, severity, and duration","Seventy-six patients were included. No significant differences were found in the annual relapse rate after the switch to EID (p = 0.083). However, there was a significant increase in the proportion of patients complaining of WO from 38.2% to 56.6% (p = 0.001). Moreover, patients with WO on SID, referred a significant increase in severity (p = 0.019) and duration of WO symptoms (p = 0.029), due to an anticipation of the symptoms relative to the day of natalizumab infusion (p = 0.019), when switching to EID. Symptoms improved with treatment maintenance in 23.3% of patients; instead, a reduction in interval dosing was needed in 54.8% with symptom improvement."
Bigaut et al. - 2021 - Long-term effect of natalizumab in patients with RRMS TYSTEN cohort.pdf,0.9,Long-term effect of natalizumab in patients with RRMS: TYSTEN cohort,"In our cohort of patients treated with NTZ, poor outcomes were infrequent and are driven by disease activity.",Observational study,Patients with relapsing-remitting multiple sclerosis (RRMS) who started natalizumab treatment between 2007 and 2012 in France,Natalizumab (NTZ),Not Found,"Time to secondary progressive multiple sclerosis (SPMS) conversion, Expanded Disability Status Scale (EDSS) worsening, EDSS 4.0 and 6.0, treatment failure; also No Evidence of Disease Activity (NEDA-3) status and safety outcomes (e.g., PML)","770 patients included, mean follow-up 97 months, mean NTZ treatment duration 66 months; 10-year cumulative probability of SPMS 27.7%; predictive factors for poor outcomes included ≥1-point EDSS increase, new T2/T1 gadolinium-enhancing lesions, relapse at 1 or 2 years; NEDA-3 was a protective factor; 9 cases of progressive multifocal leukoencephalopathy (PML) (1.1%)"
"Bomprezzi and Pawate - 2014 - Extended interval dosing of natalizumab a two-center, 7-year experience.pdf",0.9,"Extended interval dosing of natalizumab: a two-center, 7-year experience","Natalizumab is effective in controlling MS as very few clinical relapses were observed in our dataset. We found that EID did not compromise the treatment effect as measured by relapse rate and no significant breakthrough disease activity was observed. EID is an optional regimen for maintenance natalizumab therapy, but prospective studies are warranted to determine its efficacy.",Retrospective review,Patients with multiple sclerosis (MS) receiving natalizumab therapy,Extended interval dosing (EID) of natalizumab,Standard monthly dosing vs. extended interval dosing (EID) of natalizumab,Clinical relapse rate and MRI activity (new lesions),"Over the study period, there was no significant difference between the relapse rate in the monthly dosing (13%) and the EID (13%) groups of patients. The number of new MRI lesions was 36/340 (11%) in monthly dosing and 8/87 (9%) in EID."
Brandstadter et al. - 2017 - The use of natalizumab for multiple sclerosis.pdf,0.9,The use of natalizumab for multiple sclerosis,"Natalizumab remains an important part of the treatment arsenal for patients with RRMS. It has proven to be highly efficacious in the reduction of clinical relapses and prevention of new MRI activity. Though generally well-tolerated, natalizumab does carry a risk for the life-threatening condition PML. Risk mitigation awareness and development of a formal monitoring program have encouraged careful prescribing of natalizumab, though the risk of PML has not been fully eliminated. Future work continues into the development of new biomarkers that may better predict an individual’s risk of PML and further improve upon natalizumab’s safety.",review,Patients with multiple sclerosis (including relapsing-remitting and secondary progressive subtypes),natalizumab,placebo,"clinical relapse rate, MRI lesion activity, disability progression","In Phase III trials for relapsing-remitting multiple sclerosis (RRMS), natalizumab reduced the annualized relapse rate by 68% and prevented MS lesion accumulation on MRI. In secondary progressive multiple sclerosis (SPMS), the ASCEND trial showed no significant difference in disability progression but a reduction in upper extremity disability. Safety concerns include progressive multifocal leukoencephalopathy (PML), with risk factors including anti-JCV antibodies, prior immunosuppressant use, and long duration of therapy."
