# Generated by ReviewAid
Filename,Confidence,Paper Title,Conclusion,Type of Study,Population,Intervention,comparison,outcome,Results
1-s2.0-S0022510X21003166-main.pdf,0.9,Wearing-off symptoms during standard and extended natalizumab dosing intervals: Experiences from the COVID-19 pandemic,"EID increased wearing-off symptoms, especially in patients with pre-existing wearing-off; further RCTs are needed to study the effect of EID on wearing-off symptoms.",Observational study,RRMS patients over 18 years of age receiving natalizumab,Extended interval dosing (EID) from 4 to 6 weeks,Standard interval dosing (SID) vs. Extended interval dosing (EID),Wearing-off symptoms,"New or increased wearing-off symptoms during EID were reported by 50%; symptom increase was more frequent among patients with pre-existing wearing-off symptoms during SID compared to patients without such pre-existing symptoms [p = 0.0005]. Median natalizumab RO at SID was lower in 9 of 11 leukocyte subtypes in patients who later reported symptom increase during EID compared to patients with unchanged symptoms during EID, but the difference was not statistically significant."
1-s2.0-S221103482100612X-main.pdf,0.9,Safety of Natalizumab infusion in multiple sclerosis patients during active SARS-CoV-2 infection,Our data supports the safety of NTZ redosing in pwMS during active SARS-CoV-2 infection; NTZ redosing is not associated with worsening of COVID-19 symptoms or recovery delay.,Retrospective study,"18 relapsing-remitting multiple sclerosis patients (pwMS) receiving natalizumab treatment, infected with SARS-CoV-2",Natalizumab (NTZ) infusion retreatment,Not Found,"Clinical outcomes of SARS-CoV-2 infection (including worsening of infection, recovery delay, new neurological symptoms, and gastrointestinal symptoms)","All 18 patients experienced at least one COVID-19 symptom at onset; no patient reported worsening of SARS-CoV-2 symptoms or new neurological symptoms after NTZ reinfusion. Patients still symptomatic at reinfusion had a mean recovery time of 10±12 days. Overall cohort had mean intervals from symptom onset to NTZ reinfusion (19±9 days), symptom onset to full recovery (13±9 days), and positive swab to negative swab (32±15 days)."
1-s2.0-S1878747924000370-main.pdf,0.9,Commentary Extended interval dosing of natalizumab: More evidence in support,"The main findings of the study by Ruggieri et al. are in line with previous observational studies demonstrating similar benefits with EID versus SID at a dosing interval of 6 weeks. This supports the notion of being able to extend the natalizumab dosing interval without compromising expected benefits, and potentially reducing harm of PML. Reductions in infusion frequency also have the benefits of decreasing cost and increasing patient convenience. Nevertheless, EID natalizumab has not been studied as a first line approach, and most participants in the current study were on previous treatments. Additional data are needed in patients with more recently diagnosed, and likely more active, disease. Although the exploratory BMI analysis is a valuable addition to the literature, further studies are needed, ideally including parallel information on natalizumab concentrations and target receptor saturation. An ongoing prospective Dutch study is poised to provide further high-quality evidence re...",Commentary,"Adults with multiple sclerosis (mostly female, mean disease duration ~8.5 years, many with prior disease-modifying therapy)",Extended interval dosing of natalizumab,Standard interval dosing (SID) vs. Extended interval dosing (EID),"Evidence of disease activity (EDA), defined as clinical relapses, MRI activity, or disability worsening per the Expanded Disability Status Scale (EDSS)","Primary analysis showed no differences between SID and EID (5–7 weeks) for specified outcomes. Similar results for SID vs. EID (7–8 weeks), trend toward greater hazard for clinical relapses with EID (HR 1.74, 95% CI 0.99–3.02, p=0.054). Exploratory BMI analysis showed significant interaction between BMI and treatment regimen regarding EDA, suggesting BMI is relevant for dosing regimen selection. No differences in EDA between binarized BMI groups when inverse probability treatment weighted models were applied."
3_Managing_disease_activity_during_treatment_with_.pdf,0.9,MANAGING DISEASE ACTIVITY DURING TREATMENT WITH NATALIZUMAB IN RELAPSING-REMITTING MULTIPLE SCLEROSIS,"We have shown that following natalizumab failure, switching to B-cell depleting agents (ocrelizumab and rituximab), but not alemtuzumab, is associated with a clinically meaningful reduction in the risk of relapses in comparison to continuing natalizumab therapy. Clinicians should consider B-cell depletion following natalizumab failure where appropriate.",Prospective cohort study,Patients with relapsing-remitting multiple sclerosis (RRMS) who experienced failure of natalizumab therapy (defined as breakthrough relapses or ≥3 new or gadolinium-enhancing lesions on MRI).,"Natalizumab therapy (and subsequent treatment decisions after failure, including continuing natalizumab, treatment de-escalation, switching to anti-CD20 therapy, or switching to alemtuzumab).","Continuing natalizumab therapy versus switching to anti-CD20 therapy (ocrelizumab/rituximab), treatment de-escalation, or switching to alemtuzumab.","Risk of further relapses, new MRI activity, expanded disability status scale (EDSS) worsening, and disease-activity free survival.","Of the 1,131 natalizumab-treated patients, 85 de-escalated treatment, 39 switched to anti-CD20 therapy, and 28 switched to alemtuzumab. Switching to anti-CD20 therapy was associated with a significantly lower risk of relapse (HR=0.51, 95%CI=0.29–0.88) compared to continuing natalizumab. Treatment de-escalation or cessation increased the risk of subsequent relapses (HR=1.40, 95% CI=1.10–1.79; HR=1.89, 95%CI=1.09–3.28, respectively). No significant difference was found for switching to alemtuzumab in the primary analysis; secondary analyses also did not show differences for alemtuzumab or other outcomes."
10.1007@s00415-014-7574-6.pdf,0.9,Intense immunosuppression for the treatment of an immune reconstitution inflammatory syndrome-like exacerbation after natalizumab withdrawal: a case report,"In the meantime, IRIS can be a serious manifestation related to NTZ treatment interruption and the administration of intense immunosuppression, once PML is ruled out, a therapeutic option for such rapidly worsening condition.",Case report,43-year-old woman with relapsing–remitting multiple sclerosis (MS),Intense immunosuppression (including 1 g IV cyclophosphamide followed by a cycle of rituximab),"Standard therapy (IVMP, plasma exchange) vs intense immunosuppression","Clinical and radiological improvement (EDSS improved from 9.0 to 3.0, lesions reduced)","Patient’s condition improved clinically (EDSS 5.0) and radiologically (lesions decreased), with EDSS 3.0 at 16 months, resuming glatiramer acetate after 16 months of being free of activity."
"A real world multi center study on efficacy and safety of natalizumab in Indian patients with multiple sclerosis_Author links open overlay panel_Thomas Mathew a_, _Vikram Kamath b_, _Saji K John a_, _M Netravat.pdf",0.9,A real world multi center study on efficacy and safety of natalizumab in Indian patients with multiple sclerosis,"Natalizumab is a highly effective treatment strategy in Indian patients with MS. The risk benefit ratio appears highly favorable with no reports of PML as of now. A short course of natalizumab and lack of prior exposure to immunosuppressant therapy may be the reason for the lack of PML in the present study. Patients with RRMS and SPMS benefit with respect to relapse rate while EDSS improvement was observed only in the RRMS cohort. Initiating natalizumab early in the disease course, before other immunosuppressive medications and keeping the duration of treatment shorter is important for optimum safety and efficacy.",Multicentre ambispective study,Indian patients with multiple sclerosis (age ≥18 years),Natalizumab,Pre-treatment vs post-treatment (before vs after natalizumab),Relapse rate and Expanded Disability Status Scale (EDSS) score,"During the study period of nine years, 116 MS patients were treated with NTZ. Mean age of the cohort was 35.6 ± 9.7 years; 83/116 (71.6%) were females. Relapse rate for the entire cohort in the year before NTZ was 3.1 ± 1.51 while one year after was 0.20±0.57 (p = 0.001; CI 2.45 -3.35). EDSS of the entire cohort in the year before NTZ was 4.5 ± 1.94 and one year after was 3.8 ± 2.7 (p = 0.013; CI 0.16–1.36). At last follow up (38.3 ± 22.78 months) there were no cases of PML identified."
Balduzzi et al. - 2019 - How to perform a meta-analysis with R a practical tutorial.pdf,0.9,How to perform a meta-analysis with R: a practical tutorial,R represents a powerful and flexible tool to conduct meta-analyses. This publication gives a brief glimpse into the topic and provides directions to more advanced meta-analysis methods available in R.,Meta-analysis tutorial (practical guide),17 trials comparing haloperidol and placebo for symptoms of schizophrenia,haloperidol,placebo,clinical improvement (binary outcome),"Fixed effect and random effects meta-analysis showed haloperidol significantly more effective than placebo (RR > 1), but prediction interval suggested future studies might favor placebo. Subgroup analysis indicated studies without missing data reported larger effects. Sensitivity analyses for missing data yielded similar results supporting haloperidol benefit. Funnel plot asymmetry indicated small-study effects; trim-and-fill and limit meta-analysis adjusted estimates to non-significant benefit, while contour-enhanced funnel plot suggested asymmetry not due to publication bias."
Bernardes et al. - 2024 - Natalizumab extended interval dosing what about wearing-off effect.pdf,1.0,Natalizumab extended interval dosing: what about wearing-off effect?,"WO affects a significant proportion of MS patients under natalizumab. Its prevalence, severity, and duration increase on EID, therefore despite clinical effectiveness maintenance of this posology should be individualized.",Observational retrospective study,Patients with multiple sclerosis (MS) receiving natalizumab on extended interval dosing (EID),Extended interval dosing (EID) with every six weeks infusions,Standard interval dosing (SID) vs Extended interval dosing (EID),"Wearing-off (WO) effect prevalence, severity, duration, and annual relapse rate","Seventy-six patients were included. No significant differences were found in the annual relapse rate after the switch to EID (p = 0.083). However, there was a significant increase in the proportion of patients complaining of WO from 38.2% to 56.6% (p = 0.001). Moreover, patients with WO on SID experienced a significant increase in severity and duration of WO symptoms when switching to EID."
Bigaut et al. - 2021 - Long-term effect of natalizumab in patients with RRMS TYSTEN cohort.pdf,0.9,Long-term effect of natalizumab in patients with RRMS: TYSTEN cohort,"In our cohort of patients treated with NTZ, poor outcomes were infrequent and are driven by disease activity. Not reaching NEDA-3, MRI worsening, increased EDSS score, and to a lesser extent the occurrence of relapse were identified as predictive of disability at the long-term.",observational study,relapsing-remitting multiple sclerosis (RRMS) patients treated with natalizumab (NTZ),natalizumab (NTZ),Not Found,"time to onset of secondary progressive multiple sclerosis (SPMS), EDSS worsening, EDSS 4.0, EDSS 6.0, and treatment failure","770 patients were included. The mean follow-up duration was 97 months and the mean time exposure to NTZ was 66 months. At 10 years, the cumulative probability of SPMS was 27.7%. Predictive factors for poor outcomes were a ≥1-point increase in EDSS score from baseline, new T2 lesion or T1 gadolinium-enhancing lesion, the occurrence of relapse at 1 or 2 years and No Evidence of Disease Activity (NEDA-3; no relapse, no new T2 or T1 gadolinium-enhancing lesions, no progression) was a protective factor."
"Bomprezzi and Pawate - 2014 - Extended interval dosing of natalizumab a two-center, 7-year experience.pdf",0.9,"Extended interval dosing of natalizumab: a two-center, 7-year experience","Natalizumab is effective in controlling MS as very few clinical relapses were observed in our dataset. We found that EID did not compromise the treatment effect as measured by relapse rate and no significant breakthrough disease activity was observed. EID is an optional regimen for maintenance natalizumab therapy, but prospective studies are warranted to determine its efficacy.",Retrospective review,Patients with multiple sclerosis (MS) treated with natalizumab at two MS centers,Extended interval dosing (EID) of natalizumab (administered every 6 or 8 weeks),Standard monthly dosing (every 4 weeks) vs. extended interval dosing (EID),"Clinical relapse rate and MRI activity (new T2, FLAIR or contrast enhancing lesions)","Over the study period, there was no significant difference in relapse rate between monthly dosing (13%) and EID (13%) groups. New MRI lesions were 11% in monthly dosing and 9% in EID groups. Prolonged interruption of natalizumab led to relapses within ~6 months."
