# Generated by ReviewAid
Filename,Title,Author,Year,Confidence,Reason for Inclusion
1-s2.0-S0022510X21003166-main.pdf,Wearing-off symptoms during standard and extended natalizumab dosing intervals: Experiences from the COVID-19 pandemic,Gerd Haga Bringeland,2021,0.95,"The paper studies adults (population) receiving natalizumab (intervention) with outcomes related to multiple sclerosis (MS), specifically evaluating wearing-off symptoms during standard and extended interval dosing (EID), which aligns with all inclusion criteria."
1-s2.0-S221103482100612X-main.pdf,Safety of Natalizumab infusion in multiple sclerosis patients during active SARS-CoV-2 infection,Landi D,2021,0.95,"The paper focuses on the safety of Natalizumab (intervention) in adults with Multiple Sclerosis (population) during active SARS-CoV-2 infection (outcomes). It meets all inclusion criteria for population (adults), intervention (Natalizumab, SID, EID), and outcomes (MS)."
1-s2.0-S1878747924000370-main.pdf,Commentary Extended interval dosing of natalizumab: More evidence in support,Karlo Toljan,2024,0.95,"The paper evaluates extended interval dosing (EID) of natalizumab (intervention) in adults (population), comparing it to standard interval dosing (SID), with outcomes related to Multiple Sclerosis (MS). It meets all inclusion criteria for population, intervention, comparison, and outcomes."
10.1007@s00415-014-7574-6.pdf,LETTER TO THE EDITORS Intense immunosuppression for the treatment of an immune reconstitution inﬂammatory syndrome-like exacerbation after natalizumab withdrawal: a case report,Maria Sepu´lveda,2014,0.95,"The paper is a case report of a 43-year-old adult with relapsing-remitting multiple sclerosis (MS) who experienced immune reconstitution inflammatory syndrome (IRIS) after natalizumab (NTZ) withdrawal. It meets the PICO criteria: Population (adults), Intervention (natalizumab), and Outcomes (MS)."
"A real world multi center study on efficacy and safety of natalizumab in Indian patients with multiple sclerosis_Author links open overlay panel_Thomas Mathew a_, _Vikram Kamath b_, _Saji K John a_, _M Netravat.pdf",A real world multi center study on efficacy and safety of natalizumab in Indian patients with multiple sclerosis,Thomas Mathew,2022,0.95,"The paper is a real-world multi-center study on the efficacy and safety of natalizumab in Indian patients with multiple sclerosis. It meets the population criterion (adults, as patients were ≥18 years old) and intervention criterion (focuses on natalizumab, with no inclusion/exclusion of other interventions like ocrelizumab or fingolimod). Outcomes related to MS (relapse rate, EDSS score, PML) are reported, fulfilling the outcomes criterion."
Bernardes et al. - 2024 - Natalizumab extended interval dosing what about wearing-off effect.pdf,Natalizumab extended interval dosing: what about wearing-off effect?,Catarina Bernardes,2024,0.95,"The paper studies adults with multiple sclerosis (MS) receiving natalizumab (intervention: natalizumab, including standard interval dosing (SID) and extended interval dosing (EID)), with outcomes related to MS (wearing-off effect in MS patients). All PICO criteria are met."
Bigaut et al. - 2021 - Long-term effect of natalizumab in patients with RRMS TYSTEN cohort.pdf,Long-term effect of natalizumab in patients with RRMS: TYSTEN cohort,Kévin Bigaut,2020,0.95,"The paper studies adults (age ≥18 years) with relapsing-remitting multiple sclerosis (RRMS) treated with natalizumab (NTZ), which is included in the intervention criteria. The outcomes focus on multiple sclerosis (MS)-related endpoints such as secondary progressive multiple sclerosis (SPMS) conversion, Expanded Disability Status Scale (EDSS) worsening, and other MS-related clinical events, thus meeting the outcomes criterion."
"Bomprezzi and Pawate - 2014 - Extended interval dosing of natalizumab a two-center, 7-year experience.pdf","Extended interval dosing of natalizumab: a two-center, 7-year experience",Roberto Bomprezzi,2014,0.95,"The paper is a retrospective review of patients with multiple sclerosis (MS) treated with natalizumab, comparing standard monthly dosing (SID) to extended interval dosing (EID). The population is adults with MS, the intervention includes natalizumab (specifically EID), and outcomes are related to MS (relapse rate, MRI activity). All criteria are met."
Brandstadter et al. - 2017 - The use of natalizumab for multiple sclerosis.pdf,The use of natalizumab for multiple sclerosis,Rachel Brandstadter,2017,0.95,"The paper is a review focused on natalizumab for multiple sclerosis (MS), which aligns with the intervention (natalizumab) and outcomes (MS) criteria. The population is adults (no children discussed), and it includes discussion of standard interval dosing (SID) and extended interval dosing (EID) as part of the intervention. No excluded interventions (ocrelizumab, fingolimod) are present, so it meets all inclusion criteria."
Buron et al. - 2023 - Natalizumab treatment of multiple sclerosis — a Danish nationwide study with 13 years of follow-up.pdf,Natalizumab treatment of multiple sclerosis — a Danish nationwide study with 13 years of follow-up,Mathias Due Buron,2023,0.95,"The paper is a nationwide study evaluating natalizumab treatment for multiple sclerosis (MS) in adults, which matches the PICO criteria: population (adults), intervention (natalizumab, included), outcomes (MS). The study population is adults, intervention is natalizumab (included), and outcomes focus on MS. No exclusion criteria for intervention or comparison are violated."
