# Generated by ReviewAid
Filename,Confidence,Paper Title,Journal,DOI,Category,Therapeutic Area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Make and Model,Wear Location,Algorithm/Analysis Software,Sample Size,Participant Age,Participant Gender.,Sensor(s)
1-s2.0-S1532046414001518-main.pdf,0.2,Classifying obstructive sleep apnea using smartphones,Journal of Biomedical Informatics,http://dx.doi.org/10.1016/j.jbi.2014.07.004,Not Found,Not Found,Obstructive sleep apnea (OSA),Classifying obstructive sleep apnea using smartphones,"Accuracy metrics including sensitivity, specificity, PPV, NPV; AHI comparison with gold standard",Polysomnography (PSG),Smartphone (Android),Samsung-Galaxy SII,On patient's arm,Android SDK and Matlab,15,Not Found,"14 male, 1 female",Not Found
10.1016@j.jneumeth.2018.02.015.pdf,0.2,Essential Tremor Quantiﬁcation Based on the Combined Use of a Smartphone and a Smartwatch: the NetMD study,Journal of Neuroscience Methods,https://doi.org/10.1016/j.jneumeth.2018.02.015,Not Found,Not Found,Essential Tremor,Tremor quantification using a smartphone and smartwatch,Tremor intensity quantification via root mean square of angular velocity from gyroscopes,Fahn-Tolosa-Marin Tremor Rating Scale (FTM-TRS),Smartphone and Smartwatch,Sony Smartwatch3 (SW3),Wrist,Matlab,34,64 years (mean),Not Found,Not Found
2611062.pdf,0.6,Quantifying the relative change in physical activity after Total Knee Arthroplasty using accelerometer based measurements,Not Found,Not Found,Not Found,Total Knee Arthroplasty,Osteoarthritis,Quantifying the relative change in physical activity after Total Knee Arthroplasty,Accelerometer based physical activity measurements,Not Found,Accelerometer based measurement system,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Accelerometer
Accuracy of Three Activity Monitors in Patients with Chronic Obstructive Pulmonary Disease  A Comparison with Video Recordings.pdf,0.9,Accuracy of Three Activity Monitors in Patients with Chronic Obstructive Pulmonary Disease: A Comparison with Video Recordings,COPD: Journal of Chronic Obstructive Pulmonary Disease,10.3109/15412555.2014.898033,Not Found,Chronic Obstructive Pulmonary Disease (COPD),Chronic Obstructive Pulmonary Disease (COPD),"Accuracy of activity monitors (steps, body position, activity/inactivity differentiation) in COPD patients","Steps, body position, time spent in different body positions, and ability to differentiate physical activity and inactivity",Video recordings,Activity monitors,"DynaPort ADL-monitor, DynaPort MiniMod, SenseWear Armband Pro 3 monitor","Waist (front side) + upper left thigh (DynaPort ADL), Waist (lumbar) (DynaPort MiniMod), Right arm triceps (SenseWear Armband)","Manufacturer's in-house analysis (McRoberts), Inner View PC software (SenseWear)",15,64 (59–69) years,8 females,"Accelerometer(s) (triaxial for DynaPort, biaxial for SenseWear)"
aghagolzadeh2016.pdf,0.8,Predicting Seizures from Local Field Potentials Recorded via Intracortical Microelectrode Arrays,Not Found,Not Found,Not Found,Not Found,Focal epilepsy,Seizure prediction,Seizure detection/prediction performance (80% detection; no false positives),Not Found,Closed-loop systems for seizure control (using CNNs on LFPs),"Blackrock Microsystems, NeuroPort 10×10 microelectrode array",Middle temporal gyrus,Deep Convolutional Neural Networks (CNNs),5 (5 clinical seizures),Not Found,Not Found,Local field potentials (LFPs) from microelectrode array
alharbi2016.pdf,1.0,Validation of Fitbit-Flex as a measure of free-living physical activity in a community-based phase III cardiac rehabilitation population,European Journal of Preventive Cardiology,10.1177/2047487316634883,Not Found,Cardiac Rehabilitation,Coronary heart disease,Validation of Fitbit-Flex as a measure of free-living physical activity,step counts and minutes of moderate to vigorous physical activity (MVPA),Actigraph accelerometer,Fitbit-Flex,Fitbit-Flex,Wrist,SPSS,48,65.6 ± 6.9 years,52.1% males,accelerometer
andrzejewski2016.pdf,0.9,Wearable Sensors in Huntington Disease: A Pilot Study,Journal of Huntington’s Disease,10.3233/JHD-160197,Not Found,Huntington Disease,Huntington Disease,Wearable sensors for motor impairment assessment in Huntington disease,Motor impairment (specifically gait measures),Control group vs Huntington disease participants,Accelerometer-based wearable sensors,PAMSys-X™ (BioSensics),"Ankles, wrists, and chest",PAMWare™ (BioSensics),"20 (15 Huntington disease participants, 5 controls)",Mean age of Huntington disease participants: 56.8 ± 6.6 years; Controls: 53.4 ± 20.4 years,Huntington disease: 40% women; Controls: 60% women,"Accelerometer-based sensors (chest, ankle, wrist)"
arefin2015.pdf,0.8,QRS Complex Detection in ECG Signal for Wearable Devices,Not Found,Not Found,Not Found,Cardiovascular Disease,Arrhythmias,QRS complex detection,"Detection rate, sensitivity, positive predictivity","Pan and Tompkins algorithm, Afonso algorithm",Wearable ECG technology,Not Found,Not Found,Dual slope based QRS detection algorithm,Not Found,Not Found,Not Found,Electrocardiogram (ECG) sensors
atallah2014.pdf,0.9,Gait asymmetry detection in older adults using a light ear-worn sensor,Physiological Measurement,10.1088/0967-3334/35/5/N29,Not Found,Orthopedic surgery and osteoarthritis management,"Osteoarthritis, post-hip/knee replacement conditions",Gait asymmetry detection,"Gait asymmetry (temporal features: gait cycle time, step-period asymmetry)",Instrumented treadmill (with force plates),Ear-worn sensor system (3D accelerometer),Not Found,Ear,Matlab (including peakdet.m for peak detection),64,60.04 (15.36),"34 females, 30 males",3D accelerometer
bahr2014.pdf,0.9,Miniature ambulatory skin conductance monitor and algorithm for investigating hot flash events,Physiol. Meas.,10.1088/0967-3334/35/2/95,Not Found,Not Found,Hot flash (hot flush),Hot flash detection via skin conductance monitoring,"Accuracy of hot flash detection (sensitivity, specificity)",Expert-marked hot flash events,Miniature ambulatory skin conductance monitor,Not Found,Sternum,Matched filter (with multiple kernels) and Artificial Neural Network,17 (development cohort) and 20 (validation cohort),45 to 60 years,Female,Skin conductance sensor
