Record #,Full Citation,Title,Authors,Journal,Year,DOI,Category,Therapeutic area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Sensor(s),Make and Model,Wear location,Algorithm / Analysis Software,Sample size,Participant age,Participant gender
30,"Author: Agarwal, V., Smuck, M. and Shah, N. H.
Year: 2017
Title: Quantifying the relative change in physical activity after Total Knee Arthroplasty using accelerometer based measurements
Journal: AMIA Jt Summits Transl Sci Proc
Volume: 2017
Pages: 463-472
",Quantifying the relative change in physical activity after Total Knee Arthroplasty using accelerometer based measurements,"Agarwal, V., Smuck, M., Shah, N.H.",AMIA Summits on Translational Science Proceedings,2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5543365/,Algorithm development,Musculoskeletal; Orthopedics/Orthopedic Surgery; Rheumatology,Osteoarthritis,Physical activity patterns; Physical activity,Physical performance intervals; Activity counts per minute,,Wearable,Uni-axial accelerometer,"ActiGraph, GT1M",Hip,,32,Adults; Older Adults,Both
32,"Author: Aghagolzadeh, M., Hochberg, L. R., Cash, S. S. and Truccolo, W.
Year: 2016
Title: Predicting seizures from local field potentials recorded via intracortical microelectrode arrays
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2016
Pages: 6353-6356
",Predicting seizures from local field potentials recorded via intracortical microelectrode arrays,"Aghagolzadeh, M., Hochberg, L. R., Cash, S. S. and Truccolo, W.",Conf Proc IEEE Eng Med Biol Soc,2016,https://doi.org/10.1109/EMBC.2016.7592181,Algorithm development,Neurology,Epilepsy ,Seizure prediction,Change in interictal state,,Implantable,Microelectrode array,"Blackrock Microsystems, NeuroPort",Brain,,1,Not specified,Not specified
34,"Author: Agostini, V., Gastaldi, L., Rosso, V., Knaflitz, M. and Tadano, S.
Year: 2017
Title: A Wearable Magneto-Inertial System for Gait Analysis (H-Gait): Validation on Normal Weight and Overweight/Obese Young Healthy Adults
Journal: Sensors (Basel)
Volume: 17
Issue: 10
Epub Date: 2017/10/27
",A Wearable Magneto-Inertial System for Gait Analysis (H-Gait): Validation on NormalWeight and Overweight/Obese Young Healthy Adults,"Agostini, V., Gastaldi, L., Rosso, V., Knaflitz, M., Tadano, S. ",Sensors,2017,http://doi.org/10.3390/s17102406,Algorithm development; Sensor performance,Musculoskeletal; Overweight/Obesity,Obesity,Gait,Gait timings; Joint kinematics,"Reference multichannel recording system (STEP32), providing direct measurements of gait timings via foot-switches; Joint angles in the sagittal plane via through electrogoniometers",Wearable sensor array,Tri-axial accelerometer; Tri-axial gyroscope; Tri-axial magnetometer,"ATR Promotions, TSDN121; AICHI STEEL, AMI306; InvenSense, MPU-6050",Pelvis; Lower limbs,SPSS v22.0,22,Adults,Male
50,"Author: Al-Mardini, M., Aloul, F., Sagahyroon, A. and Al-Husseini, L.
Year: 2014
Title: Classifying obstructive sleep apnea using smartphones
Journal: J Biomed Inform
Volume: 52
Pages: 251-9
",Classifying obstructive sleep apnea using smartphones,"Al-Mardini, M., Aloul, F., Sagahyroon, A., Al-Husseini, L. ",Journal of Biomedical Informatics,2014,https://doi.org/10.1016/j.jbi.2014.07.004,Algorithm development; Sensor performance,Pulmonary/Respiratory; Sleep,Obstructive sleep apnea,Presence of obstructive sleep apnea,Oxygen level; Respiratory effort; Body movement,Polysomnography,Smart phone,Tri-axial accelerometer; Oximeter; Microphone,Samsung-Galaxy SII,,MATLAB,15,Not specified,Both
61,"Author: Alharbi, M., Bauman, A., Neubeck, L. and Gallagher, R.
Year: 2016
Title: Validation of Fitbit-Flex as a measure of free-living physical activity in a community-based phase III cardiac rehabilitation population
Journal: Eur J Prev Cardiol
Volume: 23
Issue: 14
Pages: 1476-85
",Validation of Fitbit-Flex as a measure of free-living physical activity in a community-based phase III cardiac rehabilitation population,"Alharbi, M., Bauman, M., Neubeck, L., Gallagher, R.",European Journal of Preventive Cardiology,2016,http://doi.org/10.1177/2047487316634883,Algorithm development; Sensor performance,Cardiology/Vascular,Coronary heart disease,Physical activity monitoring,Average daily step counts; Minutes per day of moderate to vigorous physical activity,"Tri-axial accelerometer, Actigraph GT3X",Wearable,Tri-axial accelerometer,"Fitbit, Flex",Wrist,,48,Adults; Older Adults,Both
70,"Author: Almeida, G. J., Irrgang, J. J., Fitzgerald, G. K., Jakicic, J. M. and Piva, S. R.
Year: 2016
Title: Reliability of Physical Activity Measures During Free-Living Activities in People After Total Knee Arthroplasty
Journal: Phys Ther
Volume: 96
Issue: 6
Pages: 898-907
",Reliability of Physical Activity Measures During Free-Living Activities in People After Total Knee Arthroplasty,"Almeida, G., Irrgang, J., Fitzgerald, G., Jakicic, J., Piva, S.",Physical Therapy,2015,http://doi.org/10.2522/ptj.20150407 ,Algorithm development; Sensor performance,Orthopedics/Orthopedic Surgery,Total knee arthroplasty,Physical activity monitoring,Duration of daily light physical activity; Duration of daily moderate to light physical activity; Duration of daily moderate activity; Daily number of steps,Community Healthy Activities Model Program for Seniors (CHAMPS) questionnaire,Wearable,Tri-axial accelerometer; Not specified,"ActiGraph, GT3X; BodyMedia, SenseWear-Pro3 Armband",Waist; Upper Arm,"ActiGraph, ActiLife software v5; BodyMedia v6.1",28,Adults; Older Adults,Both
76,"Author: Alsaadi, S. M., McAuley, J. H., Hush, J. M., Bartlett, D. J., McKeough, Z. M., Grunstein, R. R., Dungan, G. C., 2nd and Maher, C. G.
Year: 2014
Title: Assessing sleep disturbance in low back pain: the validity of portable instruments
Journal: PLoS One
Volume: 9
Issue: 4
Pages: e95824
",Assessing Sleep Disturbance in Low Back Pain: The Validity of Portable Instruments,"Alsaadi, S., McAuley, J., Hush, J., Bartlett, D.,  McKeough, Z., Grunstein, R., Dungan, G., Maher, C.",PLOS One,2014,https://doi.org/10.1371/journal.pone.0095824,Sensor performance,Musculoskeletal; Sleep,Low back pain,Sleep disturbance,Sleep interval detection; Total sleep time; Sleep efficiency; Wake after sleep onset; Sleep onset latency,Polysomnography,Wearable,Not specified; Accelerometer,"BodyMedia, SenseWear-Pro3 Armband; Philips Respironics, Actiwatch 2",Upper Arm; Wrist,SPSS v17.0; MedCalc for Windows v9.5.0.0,50,Adults,Both
99,"Author: Andersson, M., Janson, C. and Emtner, M.
Year: 2014
Title: Accuracy of three activity monitors in patients with chronic obstructive pulmonary disease: a comparison with video recordings
Journal: Copd
Volume: 11
Issue: 5
Pages: 560-7
",Accuracy of Three Activity Monitors in Patients with Chronic Obstructive Pulmonary Disease: A Comparison with Video Recordings,"Andersson, M., Janson, C., Emtner, M.",Journal of Chronic Obstructive Pulmonary Disease,2014,https://doi.org/10.3109/15412555.2014.898033,Algorithm development; Sensor performance,Pulmonary/Respiratory ,COPD,Physical activity monitoring,"Steps; Movement intensity; Energy Expenditure; Total Energy
Expenditure; Active Energy Expenditure; Metabolic equivalents",Scored video,Wearable,Tri-axial accelerometer; Tri-axial accelerometer; Bi-axial accelerometer; Skin temperature;  Galvanic skin response,"McRoberts, DynaPort ADL-monitor; McRoberts, DynaPort MiniMod; BodyMedia, SenseWear-Pro3 Armband",Waist lumbar; Waist front side; Upper left Thigh; Right arm triceps,Microsoft Excel; Inner View PC software v6.1,15,Adults; Older Adults,Both
103,"Author: Andrzejewski, K. L., Dowling, A. V., Stamler, D., Felong, T. J., Harris, D. A., Wong, C., Cai, H., Reilmann, R., Little, M. A., Gwin, J. T., Biglan, K. M. and Dorsey, E. R.
Year: 2016
Title: Wearable Sensors in Huntington Disease: A Pilot Study
Journal: J Huntingtons Dis
Volume: 5
Issue: 2
Pages: 199-206
",Wearable Sensors in Huntington Disease: A Pilot Study,"Andrzejewski, K., Dowling, A., Stamler, D., Felong, T., Harris, D., Wong, C., Cai, H., Reilmann, R., Little, M., Gwin, J., Biglan K., Dorsey, R.",Journal of Huntington's Disease,2016,https://doi.org/10.3233/JHD-160197 ,Algorithm development; Operational feasibility,Musculoskeletal; Neurology,Huntington's disease,Physical activity; Gait,Time spent sitting upright: Time spent standing; Time spent walking; Time spent running; Total number of sit-to-stand; Duration of sit-to-stand; Total number of Stand-to-sit; Duration of Stand-to-sit; Number of walking episodes; Number of steps; Number of steps per walking episode; Step time standard deviation; Maximum step peak acceleration; Maximum medial-lateral velocity; Maximum medial-lateral displacement; Cadence; Average step peak acceleration; Average medial-lateral velocity; Average medial-lateral displacement,Scored video; Unified Huntington’s Disease Rating Scale (UHDRS); Timed Up and Go,Wearable,Tri-axial accelerometer,BioSensics PAMSys-X sensors,Ankles; Wrists; Chest,PAMWare™,20,Adults,Both
111,"Author: Appelboom, G., Taylor, B. E., Bruce, E., Bassile, C. C., Malakidis, C., Yang, A., Youngerman, B., D'Amico, R., Bruce, S., Bruyere, O., Reginster, J. Y., Dumont, E. P. and Connolly, E. S., Jr.
Year: 2015
Title: Mobile Phone-Connected Wearable Motion Sensors to Assess Postoperative Mobilization
Journal: JMIR Mhealth Uhealth
Volume: 3
Issue: 3
Pages: e78
",Mobile Phone-Connected Wearable Motion Sensors to Assess Postoperative Mobilization,"Appelboom, G., Taylor, B. E., Bruce, E., Bassile, C. C., Malakidis, C., Yang, A., Youngerman, B., D'Amico, R., Bruce, S., Bruyere, O., Reginster, J. Y., Dumont, E. P. and Connolly, E. S., Jr.",JMIR mHealth uHealth,2015,http://doi.org/10.2196/mhealth.3785,Algorithm development; Operational feasibility; Sensor performance,Musculoskeletal; Neurology,Neurosurgery,Postoperative mobilization,Number of steps,Actual number of steps determined by the average of the two values counted by each researcher using a mobile counting app,Wearable,Tri-axial accelerometer,"Fitbit, Zip",Right and left Hips; Right and left Ankles,SPSS v21.0,37,Adults; Older Adults,Both
